region,Country Code,program,Status,Survey Review outcome,SurveyRequest,SurveyComplete,AssetLoad,Activation,Decomm
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,5/31/21 5:08,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/22/21 3:27,6/3/21,6/9/21 16:00,
EU,DE,Locker,Closed,Approved,2/15/21 15:00,2/16/21 7:32,2/16/21,4/18/21 22:53,6/1/22 15:00
APAC,AU,Locker,Closed,Approved,6/23/22 7:00,7/5/22 7:00,,,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,9/2/21 22:00,,,
NA,US,Locker,Activated,Approved,,4/13/23 3:00,6/7/23,6/22/23 3:00,
EU,DE,Locker,Closed,,,,,11/27/18 16:00,
EU,GB,Locker,Closed,Approved,4/8/20 22:00,4/9/20 7:05,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Activated,Approved,11/5/22 2:01,11/15/22 10:15,12/3/22,12/13/22 7:40,
EU,IT,Locker,Prepare property for installation,Approved,2/15/22 1:00,6/7/23 14:20,,,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/10/23,5/31/23 3:28,
EU,DE,Locker,Activated,Approved,11/2/21 16:00,12/1/21 6:05,12/1/21,12/20/21 2:25,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/9/21 8:42,5/13/21,5/19/21 16:00,
EU,DE,Locker,Activated,Approved,2/15/21 15:00,2/16/21 7:32,2/16/21,5/14/21 10:40,
APAC,AU,Locker,Closed,Approved,7/31/22 7:00,8/2/22 7:00,,,
NA,US,Locker,Closed,Approved,8/1/21 22:00,8/4/21 22:00,,,
NA,US,Locker,Closed,Not Viable,,3/2/23 12:00,,,
EU,DE,Locker,Closed,Approved,5/4/23 8:30,5/2/23 15:00,,,
EU,GB,Locker,Closed,Approved,4/8/20 22:00,5/15/21 12:25,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Activated,Approved,11/5/22 2:01,11/11/22 7:50,12/3/22,12/15/22 0:45,
EU,IT,Locker,Prepare property for installation,Approved,1/10/23 1:00,6/7/23 14:27,,,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/23/23,6/6/23 4:08,
EU,DE,Locker,Activated,Approved,2/9/21 1:02,4/8/21 22:44,4/9/21,4/26/21 11:19,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/11/21 5:43,5/13/21,5/25/21 16:00,
EU,DE,Locker,Activated,Approved,4/14/21 15:00,4/16/21 3:59,4/16/21,5/9/21 22:29,
APAC,AU,Locker,Closed,On Hold,7/19/22 7:00,7/20/22 7:00,,,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/11/21 22:00,,,
NA,US,Locker,Closed,Approved,4/26/22 12:00,5/8/22 12:00,,,
EU,DE,Locker,Closed,Rejected,2/17/23 1:00,2/28/23 3:00,,,
EU,GB,Locker,Closed,Approved,8/20/22 1:00,9/20/22 5:36,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Activated,Approved,11/5/22 2:01,11/11/22 7:50,4/12/23,4/26/23 1:38,
EU,IT,Locker,Activated,Approved,9/24/21 1:01,10/15/21 8:53,5/23/22,6/23/22 2:39,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/10/23,6/7/23 3:58,
EU,DE,Locker,Activated,Approved,2/9/21 1:02,4/8/21 22:44,4/9/21,7/8/21 6:31,
EU,GB,Locker,Closed,Approved,2/2/21 1:01,2/22/21 2:50,,,
EU,DE,Locker,Activated,On Hold,4/14/21 15:00,4/16/21 3:59,4/16/21,5/9/21 22:29,
APAC,AU,Locker,Activated,Approved,6/23/22 7:00,7/4/22 7:00,9/16/22,11/8/22 12:43,11/1/22
NA,US,Locker,Closed,Approved,8/1/21 22:00,8/12/21 22:00,,,
NA,US,Locker,Closed,Not Viable,10/3/22 12:00,2/6/23 12:00,,,
EU,DE,Locker,Closed,Rejected,2/17/23 1:00,2/23/23 3:00,,,
EU,GB,Locker,Closed,,3/4/22 1:00,,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Closed,Rejected,11/4/22 2:00,11/8/22 7:39,,,
EU,IT,Locker,Activated,,5/16/19 11:13,,,6/22/20 8:55,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/23/23,6/8/23 1:28,
EU,DE,Locker,Activated,,11/2/21 16:00,12/1/21 6:05,12/1/21,12/9/21 11:33,
EU,GB,Locker,Activated,Approved,2/11/20 21:00,11/6/20 8:47,11/6/20,11/15/20 16:00,
EU,DE,Locker,Activated,Approved,4/14/21 15:00,4/16/21 3:59,4/16/21,4/29/21 12:46,
APAC,AU,Locker,Activated,Approved,7/12/22 7:00,7/13/22 7:00,9/6/22,10/18/22 18:06,9/23/22
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/19/21 22:00,,,
NA,US,Locker,Activated,Approved,10/31/22 12:00,11/2/22 12:00,5/10/23,5/24/23 3:00,
EU,DE,Locker,Closed,Rejected,4/4/23 18:00,3/24/23 4:00,,,
EU,GB,Locker,Activated,,,,,11/21/19 16:00,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Apt Locker,Closed,,11/8/22 1:00,,,,
EU,IT,Locker,Activated,,7/1/19 5:57,,,2/23/20 7:43,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/10/23,6/13/23 2:28,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,4/28/21 12:04,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/22/21 3:27,5/13/21,6/8/21 6:35,9/9/21 4:00
EU,DE,Locker,Closed,Approved,4/14/21 15:00,4/16/21 3:59,4/16/21,4/29/21 12:46,8/2/21 15:00
APAC,AU,Locker,Activated,Approved,6/9/22 7:00,6/20/22 7:00,7/5/22,10/31/22 18:42,8/18/22
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/5/21 22:00,,,
NA,US,Locker,Activated,Approved,,2/21/23 12:00,4/26/23,6/8/23 3:00,
EU,DE,Locker,Closed,Approved,2/17/23 1:00,2/20/23 3:00,,,
EU,GB,Locker,Activated,,,,,9/5/19 16:00,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Activated,Approved,12/3/22 1:00,12/23/22 1:39,12/29/22,1/12/23 9:20,
EU,IT,Locker,Activated,,6/17/19 9:28,,11/6/19,12/2/19 0:30,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/23/23,6/6/23 1:18,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,4/20/21 23:58,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/14/21 12:22,5/13/21,5/25/21 16:00,3/26/23 16:00
EU,DE,Locker,Activated,Approved,4/14/21 15:00,4/16/21 3:59,4/16/21,5/9/21 22:30,
APAC,AU,Locker,Closed,,11/2/22 6:00,11/6/22 5:00,,,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/10/21 22:00,,,
NA,US,Locker,Approve product configuration,Approved,11/7/22 12:00,11/15/22 12:00,,,
EU,DE,Locker,Closed,Rejected,,,,,
EU,GB,Locker,Activated,Approved,3/31/22 1:00,4/7/22 7:32,4/12/22,4/26/22 16:00,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Activated,Approved,12/2/22 1:00,12/14/22 2:27,4/24/23,5/10/23 8:02,
EU,IT,Locker,Activated,,6/21/19 3:57,12/5/19 2:25,,5/12/20 11:03,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/23/23,6/6/23 3:28,
EU,DE,Locker,Activated,Approved,5/8/21 1:01,6/30/21 5:15,6/30/21,7/15/21 3:46,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/16/21 2:51,5/13/21,9/23/21 16:00,3/23/23 17:00
EU,DE,Locker,Closed,Approved,12/8/20 15:00,10/19/20 1:07,,12/23/20,6/16/21 15:00
APAC,AU,Locker,Closed,Approved,7/19/22 7:00,7/24/22 7:00,,,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/5/21 22:00,,,
NA,US,Locker,Approve product configuration,Approved,11/7/22 12:00,11/15/22 12:00,,,
EU,DE,Locker,Activated,Approved,,6/15/23 7:44,6/20/23,6/26/23 4:48,
EU,GB,Locker,Activated,,,,,3/29/19 17:00,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Activated,Approved,2/17/22 1:00,3/2/22 3:44,3/8/22,3/31/22 10:29,
EU,IT,Locker,Activated,Approved,4/8/22 1:00,4/21/22 4:24,,9/30/22 8:56,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/23/23,6/8/23 3:08,
EU,DE,Locker,Activated,Approved,2/9/21 1:02,4/8/21 22:44,4/9/21,2/28/22 7:38,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/22/21 3:27,10/15/21,10/18/21 16:00,
EU,DE,Locker,Activated,Approved,8/21/20 22:01,10/19/20 8:28,,10/24/20 10:16,
APAC,AU,Locker,Activated,Approved,11/13/22 5:00,11/15/22 5:00,12/15/22,2/1/23 18:44,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/4/21 22:00,,,
NA,US,Locker,Approve product configuration,Approved,11/7/22 12:00,11/15/22 12:00,,,
EU,DE,Locker,Closed,,3/10/23 1:01,,,,
EU,GB,Locker,Activated,,,,,12/18/19 16:00,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Decommissioned,Approved,10/6/22 1:00,10/12/22 23:46,11/17/22,12/8/22 5:54,6/14/23 3:00
EU,IT,Locker,Activated,Approved,11/4/21 2:02,12/15/21 8:44,6/28/22,7/8/22 6:23,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/10/23,5/31/23 1:38,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,5/26/21 14:23,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/14/21 12:22,5/13/21,5/25/21 16:00,
EU,DE,Locker,Activated,Approved,3/16/21 16:00,3/17/21 5:18,3/17/21,4/9/21 11:34,
APAC,AU,Locker,Closed,Approved,11/15/22 5:00,11/20/22 5:00,,,
NA,US,Locker,Activated,Approved,,1/26/23 12:00,4/26/23,5/8/23 3:00,
NA,US,Locker,Sign contract (optional),Approved,6/13/23 22:09,6/27/23 3:00,,,
EU,DE,Locker,Closed,,3/10/23 1:01,,,,
EU,GB,Locker,Activated,,,,,12/17/19 16:00,6/6/22 4:00
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Closed,Approved,10/20/22 1:00,11/18/22 4:17,12/3/22,12/23/22 0:42,9/4/23 15:00
EU,IT,Locker,Wait for consultation,,3/15/23 2:00,,,,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/23/23,6/8/23 2:18,
EU,DE,Locker,Activated,Approved,5/8/21 1:01,7/20/21 11:34,7/20/21,9/3/21 8:18,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/14/21 12:22,5/13/21,5/25/21 16:00,3/23/23 17:00
EU,DE,Locker,Closed,,3/16/21 16:00,3/17/21 5:18,3/17/21,3/29/21 22:44,
APAC,AU,Locker,Closed,Approved,11/15/22 5:00,11/20/22 5:00,,,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/10/21 22:00,,,
NA,CA,Locker,Closed,Wasted Trip,9/30/22 12:00,10/22/22 12:00,,,
EU,DE,Locker,Closed,,3/10/23 1:01,,,,
EU,GB,Locker,Activated,,,,,7/16/19 16:00,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Closed,Rejected,10/20/22 1:00,10/27/22 1:56,,,
EU,IT,Locker,Activated,,11/8/18 16:00,,,10/13/20 11:06,
EU,ES,Locker,Activated,Approved,4/19/23 18:00,5/3/23 5:52,5/10/23,5/31/23 0:48,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,4/28/21 12:04,
EU,GB,Locker,Closed,Approved,1/19/21 1:01,2/10/21 9:17,7/21/21,8/3/21,
EU,DE,Locker,Closed,Approved,,5/5/21 13:48,,5/5/21 13:49,6/21/22 15:00
APAC,AU,Locker,Activated,Approved,11/15/22 5:00,11/20/22 5:00,12/13/22,12/29/22 17:26,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/5/21 22:00,,,
NA,US,Locker,Closed,Rework,8/24/22 12:00,11/18/22 12:00,,,
EU,DE,Locker,Closed,Rejected,3/10/23 1:01,3/15/23 16:00,,,
EU,GB,Locker,Decommissioned,,,,,12/18/19 16:00,3/1/23 4:00
EU,DE,Locker,Closed,Approved,9/1/20 15:00,,,,
EU,IT,Locker,Activated,Approved,7/22/22 1:02,8/4/22 6:29,8/16/22,9/12/22 3:23,
EU,IT,Locker,Activated,Approved,10/26/21 1:00,6/7/23 14:28,6/29/23,7/12/23 5:18,
EU,ES,Locker,Activated,Approved,4/3/23 18:00,4/4/23 6:49,4/5/23,4/13/23 4:07,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,4/28/21 12:04,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/16/21 2:51,5/13/21,5/27/21 16:00,
EU,DE,Locker,Activated,Approved,3/25/21 16:00,3/25/21 5:55,3/25/21,4/28/21 12:04,
APAC,AU,Locker,Closed,Rejected,11/15/22 5:00,11/17/22 5:00,,,
NA,US,Locker,Closed,Pending Gen 3 Approval,8/1/21 22:00,8/5/21 22:00,,,
NA,CA,Locker,Closed,Wasted Trip,9/30/22 12:00,10/21/22 12:00,,,
EU,DE,Locker,Closed,,3/10/23 1:01,,,,
EU,GB,Locker,Activated,,,,,12/17/19 16:00,
EU,DE,Locker,Closed,,8/25/21 15:00,,,,
EU,IT,Locker,Closed,Approved,10/8/22 1:00,10/20/22 4:17,10/24/22,11/11/22 8:57,5/18/23 3:00
EU,IT,Locker,Activated,Approved,1/20/22 1:00,2/24/22 9:53,1/11/23,1/13/23 9:03,
EU,ES,Locker,Activated,,,3/11/21 8:29,3/12/21,4/16/21 4:24,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,6/21/21 5:14,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/12/21 8:46,5/13/21,5/23/21 16:00,
EU,DE,Locker,Closed,Approved,3/25/21 16:00,4/14/21 7:09,3/25/21,4/22/21 13:26,5/29/23 15:00
APAC,AU,Locker,Activated,Approved,11/17/22 5:00,11/20/22 5:00,12/21/22,12/29/22 17:22,
NA,US,Locker,Activated,Approved,7/12/22 12:00,7/18/22 12:00,11/23/22,3/6/23 11:32,
NA,CA,Locker,Closed,Wasted Trip,9/30/22 12:00,10/13/22 12:00,,,
EU,DE,Locker,Activated,Approved,2/1/23 1:00,2/14/23 3:00,4/5/23,4/24/23 3:58,
EU,GB,Locker,Closed,Rejected,4/20/20 22:00,,,,
EU,DE,Locker,Closed,Approved,8/25/21 15:00,,,,
EU,IT,Locker,Activated,Approved,10/20/22 1:00,10/25/22 7:17,11/3/22,11/16/22 3:11,
EU,IT,Locker,Prepare property for installation,Approved,11/26/22 1:00,6/7/23 14:22,,,
EU,ES,Locker,Activated,,,3/11/21 8:33,3/12/21,4/26/21 3:36,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,6/30/21 11:52,
EU,GB,Locker,Decommissioned,Approved,1/22/21 1:01,2/22/21 7:25,10/20/21,10/24/21 16:00,3/27/23 16:00
EU,DE,Locker,Activated,Approved,12/16/20 15:00,12/17/20 11:01,,2/26/21 7:17,
APAC,AU,Locker,Closed,Approved,11/17/22 5:00,11/22/22 5:00,,,
NA,US,Locker,Activated,Approved,,8/5/22 12:00,1/18/23,1/28/23 12:00,
NA,US,Locker,Closed,Approved,9/1/22 12:00,9/20/22 12:00,,,
EU,DE,Locker,Activated,Approved,5/12/23 0:00,5/15/23 15:00,6/15/23,6/27/23 4:28,
EU,GB,Locker,Activated,,,,,12/29/19 16:00,
EU,DE,Locker,Closed,Approved,8/25/21 15:00,,,,
EU,IT,Locker,Closed,Rejected,7/27/22 1:00,9/23/22 8:07,,,
EU,IT,Locker,Prepare property for installation,Approved,2/9/23 1:01,6/7/23 14:27,,,
EU,ES,Locker,Activated,,,3/11/21 8:33,3/12/21,5/13/21 7:34,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,5/31/21 5:55,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/17/21 2:25,5/13/21,5/26/21 16:00,
EU,DE,Locker,Activated,Approved,12/16/20 15:00,12/17/20 11:01,,3/11/21 12:06,
APAC,AU,Locker,Closed,Approved,11/17/22 5:00,11/24/22 5:00,,,
NA,US,Locker,Schedule installation,Approved,,9/22/22 12:00,7/5/23,,
NA,US,Locker,Activated,Approved,11/29/22 12:00,12/2/22 12:00,2/22/23,3/15/23 11:28,
EU,DE,Locker,Wait for installation,,10/5/22 1:00,6/7/23 14:22,6/30/23,,
EU,GB,Locker,Activated,,,,,8/26/19 16:00,
EU,DE,Locker,Closed,Approved,8/25/21 15:00,,,,
EU,IT,Locker,Activated,Approved,10/26/22 1:09,11/8/22 7:39,11/17/22,11/30/22 5:30,
EU,IT,Locker,Activated,Approved,2/2/22 1:00,2/23/22 3:41,12/14/22,12/19/22 1:28,
EU,ES,Locker,Activated,,,3/11/21 8:33,3/12/21,5/6/21 6:37,
